Start Time (s),End Time (s),BPM,AVG Interval (s),STD Interval (s),Amplitude,Time V2P (s),Label,Label bin
2.63,62.63,80,0.751898734,0.047040945,559.7125,0.62125,1,0
3.63,63.63,80,0.751392405,0.046734753,556.9182099,0.6195,1,0
4.63,64.63,80,0.752405063,0.046476214,560.6875,0.625822785,1,0
5.63,65.63,80,0.750126582,0.046210681,562.525,0.6255,1,0
6.63,66.63,80,0.751139241,0.045087463,561.775,0.627341772,1,0
7.63,67.63,80,0.749367089,0.050298898,562.8125,0.62556962,1,0
8.63,68.63,80,0.750632911,0.046859385,564.525,0.627,1,0
9.63,69.63,80,0.750886076,0.046747094,563.3,0.627088608,1,0
10.63,70.63,80,0.751392405,0.045970111,562.5875,0.627594937,1,0
11.63,71.63,80,0.75164557,0.045961745,561.75,0.62835443,1,0
12.63,72.63,80,0.752405063,0.045596335,561.35,0.629367089,1,0
13.63,73.63,79,0.753333333,0.045479403,558.2759494,0.627341772,1,0
14.63,74.63,79,0.753846154,0.045999743,560.3924051,0.631538462,1,0
15.63,75.63,80,0.75443038,0.051404251,559.8,0.631139241,1,0
16.63,76.63,79,0.754615385,0.04681366,559.8580696,0.632911392,1,0
17.63,77.63,79,0.755641026,0.050702494,555.6420886,0.629873418,1,0
18.63,78.63,80,0.753417722,0.050688577,557.7,0.633670886,1,0
19.63,79.63,80,0.74835443,0.056443775,556.0,0.63075,1,0
20.63,80.63,80,0.750379747,0.050802248,552.378858,0.6285,1,0
21.63,81.63,80,0.750126582,0.050903077,554.95,0.632405063,1,0
22.63,82.63,80,0.749873418,0.051002449,555.0375,0.63225,1,0
23.63,83.63,80,0.74835443,0.046291054,552.1125,0.632151899,1,0
24.63,84.63,81,0.74525,0.051743961,550.9314815,0.62875,1,0
25.63,85.63,80,0.747088608,0.046556129,549.4796296,0.63125,1,0
26.63,86.63,80,0.746835443,0.046212068,548.15,0.630632911,1,0
27.63,87.63,80,0.746075949,0.04615378,546.025,0.629620253,1,0
28.63,88.63,81,0.746,0.05083306,544.9382716,0.6285,1,0
29.63,89.63,80,0.746329114,0.051069008,543.975,0.629620253,1,0
30.63,90.63,80,0.746329114,0.04606482,543.2875,0.630886076,1,0
31.63,91.63,81,0.7465,0.050771547,542.2345679,0.63025,1,0
32.63,92.63,80,0.74835443,0.050175146,539.1125,0.6285,1,0
33.63,93.63,80,0.750379747,0.049795609,542.1625,0.633670886,1,0
34.63,94.63,80,0.752911392,0.048682695,539.375,0.63275,1,0
35.63,95.63,80,0.753924051,0.043090065,543.1875,0.638481013,1,0
36.63,96.63,79,0.754102564,0.043336368,543.0463608,0.638734177,1,0
37.63,97.63,80,0.752658228,0.049214304,542.2648734,0.636455696,1,0
38.63,98.63,80,0.75164557,0.050275957,541.3125,0.635949367,1,0
39.63,99.63,80,0.749367089,0.051394276,539.5875,0.6345,1,0
40.63,100.63,80,0.74835443,0.051959828,537.6875,0.633164557,1,0
41.63,101.63,80,0.747341772,0.052499762,536.9625,0.632658228,1,0
42.63,102.63,80,0.747848101,0.052522952,536.4166667,0.6335,1,0
43.63,103.63,80,0.748607595,0.048017248,533.9679012,0.633,1,0
44.63,104.63,80,0.750126582,0.049593121,537.35,0.637468354,1,0
45.63,105.63,80,0.750886076,0.054078936,537.7125,0.63625,1,0
46.63,106.63,80,0.751139241,0.05416775,538.8125,0.636962025,1,0
