Start Time (s),End Time (s),Kurtosis D1,Kurtosis D2,Kurtosis D3,Kurtosis A4,Label bin,Label
0.079678297,60.0796783,2.986723408,-0.393193692,-0.851648545,-0.041291955,0,1
1.079678297,61.0796783,2.753623152,-0.148941041,-0.656404136,-0.58728153,0,1
2.079678297,62.0796783,2.877458297,-0.049753071,-0.742197167,0.604004564,0,1
3.079678297,63.0796783,3.029021338,-0.319869081,-0.718490106,-0.028016573,0,1
4.079678297,64.0796783,2.826506053,-0.354068006,-0.751779029,-0.53732744,0,1
5.079678297,65.0796783,2.957621666,-0.115482434,-0.846184327,0.05070124,0,1
6.079678297,66.0796783,2.96136963,0.144063247,-0.650510777,-0.195264429,0,1
7.079678297,67.0796783,2.815190835,0.111939402,-0.842824038,0.158587535,0,1
8.079678297,68.0796783,3.085941147,-0.23906389,-0.758503519,-0.069855836,0,1
9.079678297,69.0796783,2.83347173,-0.458709294,-0.680554415,0.891282208,0,1
10.0796783,70.0796783,2.997433002,-0.179665869,-0.622390973,-0.752665863,0,1
11.0796783,71.0796783,2.873960349,-0.00043273,-0.807024922,0.456563565,0,1
12.0796783,72.0796783,3.023434871,-0.290421006,-0.775941287,-0.538588477,0,1
13.0796783,73.0796783,2.811662114,-0.273888626,-0.907687755,-0.090461573,0,1
14.0796783,74.0796783,3.216558375,-0.136631424,-0.820816073,0.224308397,0,1
15.0796783,75.0796783,2.849400012,0.024972285,-0.677815891,-0.581177657,0,1
16.0796783,76.0796783,3.334151815,-0.165075582,-0.624327003,-0.353086692,0,1
17.0796783,77.0796783,2.99738632,-0.185472816,-0.422551158,-0.553132421,0,1
18.0796783,78.0796783,3.350847916,-0.024374673,-0.429408262,0.07681516,0,1
19.0796783,79.0796783,3.094792623,-0.011320338,-0.640859565,-1.01686434,0,1
20.0796783,80.0796783,3.403617244,-0.129200057,-0.694479795,-0.49057781,0,1
21.0796783,81.0796783,3.134490876,-0.117736943,-0.939868775,-0.574966795,0,1
22.0796783,82.0796783,3.474798761,0.045424364,-0.785047708,0.148868083,0,1
23.0796783,83.0796783,3.305077383,0.19754637,-0.561753247,0.576668932,0,1
24.0796783,84.0796783,3.565331941,-0.080366639,-0.519063704,0.555914508,0,1
25.0796783,85.0796783,3.470665565,-0.051314716,-0.401568615,0.223814732,0,1
26.0796783,86.0796783,3.588701205,0.222385107,-0.286656532,-0.338590416,0,1
27.0796783,87.0796783,3.580950639,0.223824848,-0.698229517,0.64775854,0,1
28.0796783,88.0796783,3.679718167,-0.016109525,-0.542735005,-0.241527381,0,1
29.0796783,89.0796783,3.75462623,-0.023738706,-0.938722843,0.479090054,0,1
30.0796783,90.0796783,3.757175081,0.234323795,-0.645608461,0.318158761,0,1
31.0796783,91.0796783,3.80416961,0.297018954,-0.615832139,0.55650591,0,1
32.0796783,92.0796783,3.715784487,0.184519776,-0.504574441,0.267514613,0,1
33.0796783,93.0796783,4.111561705,0.25370882,-0.327717835,-0.167752287,0,1
34.0796783,94.0796783,3.921882803,0.230534043,-0.401835954,0.366411389,0,1
35.0796783,95.0796783,4.204551155,0.316043584,-0.454525168,0.311118951,0,1
36.0796783,96.0796783,3.91958347,0.247289924,-0.410655619,0.869212269,0,1
37.0796783,97.0796783,3.789950914,0.112672836,-0.427575464,0.439651059,0,1
38.0796783,98.0796783,3.892249493,0.374656452,-0.657136195,0.005112295,0,1
39.0796783,99.0796783,4.522403881,0.217868388,-0.419259025,0.164333578,0,1
40.0796783,100.0796783,3.930755605,0.25070709,-0.520859257,-0.511074781,0,1
41.0796783,101.0796783,3.711619582,0.275339323,-0.427518253,1.108173405,0,1
42.0796783,102.0796783,4.710886381,0.643758773,-0.222461094,0.600311641,0,1
43.0796783,103.0796783,3.849903064,0.392246017,-0.32472226,3.988690493,0,1
44.0796783,104.0796783,3.83608724,0.302760837,-0.392335558,1.345603669,0,1
45.0796783,105.0796783,5.569820654,0.743547087,-0.550916491,1.483170655,0,1
46.0796783,106.0796783,4.274325081,0.482128796,-0.624354113,1.940915766,0,1
47.0796783,107.0796783,4.172182894,0.527324395,-0.472668551,0.816065648,0,1
48.0796783,108.0796783,5.045002413,0.525364203,-0.498445362,3.010928927,0,1
49.0796783,109.0796783,4.413444378,0.617372608,-0.334413787,0.928539196,0,1
50.0796783,110.0796783,5.068260096,0.886631179,-0.101748846,-0.120034478,0,1
51.0796783,111.0796783,4.619770554,0.6773973,-0.241764329,1.341945307,0,1
52.0796783,112.0796783,5.058720925,0.555149483,-0.169300919,4.486277221,0,1
53.0796783,113.0796783,4.344628677,0.581285586,-0.459030914,3.122573771,0,1
54.0796783,114.0796783,5.190186085,0.743924163,-0.374192382,5.75926733,0,1
55.0796783,115.0796783,4.77686692,0.691174998,-0.161561323,3.144059799,0,1
56.0796783,116.0796783,5.640357183,0.732652654,-0.381852495,1.045482188,0,1
57.0796783,117.0796783,4.587278302,0.690302499,-0.24445334,2.448053898,0,1
58.0796783,118.0796783,5.465895981,0.940768646,-0.19489712,1.842446888,0,1
59.0796783,119.0796783,4.549599338,1.053092868,0.1728123,0.569389794,0,1
60.0796783,120.0796783,5.759787337,0.998823887,-0.175398914,1.963517797,0,1
61.0796783,121.0796783,4.572485952,1.000260634,-0.224161683,3.369240259,0,1
62.0796783,122.0796783,5.88850523,0.865429977,-0.175918659,1.915193897,0,1
63.0796783,123.0796783,4.781141632,0.765169872,-0.098995861,1.361793868,0,1
64.0796783,124.0796783,5.959313606,1.043857043,-0.265313082,0.883591577,0,1
65.0796783,125.0796783,4.745578981,1.113666286,-0.350821678,1.549074245,0,1
66.0796783,126.0796783,6.235746394,1.145120429,0.12339264,1.048987002,0,1
67.0796783,127.0796783,4.781353272,0.848881277,-0.003339577,0.854120772,0,1
68.0796783,128.0796783,6.33170955,1.176955138,-0.073846142,0.15234101,0,1
69.0796783,129.0796783,4.917203235,1.13179351,-0.29672651,0.396723375,0,1
70.0796783,130.0796783,6.249922761,0.950299667,0.063796319,0.801615701,0,1
