Time (real),IR Value raw,IR Value filtered,Time (s)
2025-06-19 22:57:56,102418,95,0.003164529800415039
2025-06-19 22:57:56,102420,91,0.023644685745239258
2025-06-19 22:57:56,102439,103,0.04364490509033203
2025-06-19 22:57:56,102447,104,0.06341147422790527
2025-06-19 22:57:56,102457,107,0.08336162567138672
2025-06-19 22:57:56,102468,111,0.10341835021972656
2025-06-19 22:57:56,102467,103,0.12334680557250977
2025-06-19 22:57:56,102459,89,0.14356231689453125
2025-06-19 22:57:57,102374,4,0.16293740272521973
2025-06-19 22:57:57,102188,-171,0.18387675285339355
2025-06-19 22:57:57,101984,-351,0.20392274856567383
2025-06-19 22:57:57,101825,-478,0.22411584854125977
2025-06-19 22:57:57,101767,-503,0.24317097663879395
2025-06-19 22:57:57,101797,-443,0.2637155055999756
2025-06-19 22:57:57,101863,-354,0.28410911560058594
2025-06-19 22:57:57,101930,-269,0.30376338958740234
2025-06-19 22:57:57,101987,-198,0.3232402801513672
2025-06-19 22:57:57,102039,-137,0.34342336654663086
2025-06-19 22:57:57,102087,-84,0.36335206031799316
2025-06-19 22:57:57,102110,-57,0.3839879035949707
2025-06-19 22:57:57,102096,-66,0.4034576416015625
2025-06-19 22:57:57,102086,-72,0.42339038848876953
2025-06-19 22:57:57,102080,-73,0.44341063499450684
2025-06-19 22:57:57,102077,-71,0.4633047580718994
2025-06-19 22:57:57,102091,-53,0.48334813117980957
2025-06-19 22:57:57,102116,-27,0.5040898323059082
2025-06-19 22:57:57,102152,9,0.523228645324707
2025-06-19 22:57:57,102182,37,0.5435736179351807
2025-06-19 22:57:57,102222,72,0.5637781620025635
2025-06-19 22:57:57,102255,98,0.583829402923584
2025-06-19 22:57:57,102279,115,0.6038429737091064
2025-06-19 22:57:57,102295,123,0.6240766048431396
2025-06-19 22:57:57,102325,143,0.6436197757720947
2025-06-19 22:57:57,102355,162,0.6631503105163574
2025-06-19 22:57:57,102383,178,0.6860754489898682
2025-06-19 22:57:57,102398,181,0.7060954570770264
2025-06-19 22:57:57,102424,194,0.7259383201599121
2025-06-19 22:57:57,102443,200,0.7459368705749512
2025-06-19 22:57:57,102460,204,0.7653918266296387
2025-06-19 22:57:57,102456,187,0.785485029220581
2025-06-19 22:57:57,102378,102,0.80570387840271
2025-06-19 22:57:57,102194,-77,0.8252449035644531
2025-06-19 22:57:57,101972,-280,0.8452513217926025
2025-06-19 22:57:57,101805,-419,0.8654420375823975
2025-06-19 22:57:57,101739,-455,0.8855667114257812
2025-06-19 22:57:57,101767,-400,0.9058055877685547
2025-06-19 22:57:57,101831,-315,0.9254157543182373
2025-06-19 22:57:57,101886,-244,0.945389986038208
2025-06-19 22:57:57,101936,-181,0.9656918048858643
2025-06-19 22:57:57,101981,-128,0.9857015609741211
2025-06-19 22:57:57,102045,-60,1.0056862831115723
2025-06-19 22:57:57,102072,-31,1.0252137184143066
2025-06-19 22:57:57,102078,-23,1.0458800792694092
2025-06-19 22:57:57,102066,-33,1.0658988952636719
2025-06-19 22:57:57,102052,-44,1.0859200954437256
2025-06-19 22:57:57,102049,-44,1.1060729026794434
2025-06-19 22:57:57,102066,-25,1.1252093315124512
2025-06-19 22:57:57,102086,-5,1.1457796096801758
2025-06-19 22:57:58,102122,29,1.1654229164123535
2025-06-19 22:57:58,102162,65,1.1854476928710938
2025-06-19 22:57:58,102192,89,1.20579195022583
2025-06-19 22:57:58,102240,128,1.2258021831512451
2025-06-19 22:57:58,102258,137,1.2453303337097168
2025-06-19 22:57:58,102283,152,1.2658517360687256
2025-06-19 22:57:58,102304,162,1.2858307361602783
2025-06-19 22:57:58,102326,173,1.3052260875701904
2025-06-19 22:57:58,102349,184,1.3255398273468018
2025-06-19 22:57:58,102363,185,1.3455662727355957
2025-06-19 22:57:58,102391,200,1.365947961807251
2025-06-19 22:57:58,102416,211,1.385789155960083
2025-06-19 22:57:58,102438,218,1.4058012962341309
2025-06-19 22:57:58,102447,213,1.4255950450897217
2025-06-19 22:57:58,102410,165,1.445601463317871
2025-06-19 22:57:58,102240,-4,1.4658758640289307
2025-06-19 22:57:58,102008,-222,1.4858553409576416
2025-06-19 22:57:58,101807,-396,1.5053870677947998
2025-06-19 22:57:58,101706,-466,1.5258772373199463
2025-06-19 22:57:58,101709,-434,1.54787278175354
2025-06-19 22:57:58,101761,-358,1.5674505233764648
2025-06-19 22:57:58,101826,-275,1.5872981548309326
2025-06-19 22:57:58,101879,-208,1.6079392433166504
2025-06-19 22:57:58,101926,-151,1.627945899963379
