Time (real),IR Value raw,IR Value filtered,Time (s),Label,,,
5/21/2025 1:15,124623,803,0.077207565,0,,,
5/21/2025 1:15,124790,909,0.077473164,0,,,
5/21/2025 1:15,124786,849,0.077636003,0,,,
5/21/2025 1:15,123637,-281,0.077799559,0,,,
5/21/2025 1:15,122802,-1047,0.110285282,0,,,
5/21/2025 1:15,122717,-1061,0.150039434,0,,,
5/21/2025 1:15,122844,-875,0.189860582,0,,,
5/21/2025 1:15,122987,-687,0.230533361,0,,,
5/21/2025 1:15,123050,-585,0.270605564,0,,,
5/21/2025 1:15,123168,-437,0.310570955,0,,,
5/21/2025 1:15,123200,-380,0.350676537,0,,,
5/21/2025 1:15,123192,-364,0.38986969,0,,,
5/21/2025 1:15,123214,-320,0.430554628,0,,,
5/21/2025 1:15,123364,-160,0.46988368,0,,,
5/21/2025 1:15,123570,43,0.510251522,0,,,
5/21/2025 1:15,123770,228,0.55028677,0,,,
5/21/2025 1:15,123940,373,0.59061861,0,,,
5/21/2025 1:15,124059,462,0.630264997,0,,,
5/21/2025 1:15,124169,536,0.670660496,0,,,
5/21/2025 1:15,124296,622,0.710350275,0,,,
5/21/2025 1:15,124440,718,0.760515928,0,,,
5/21/2025 1:15,124631,852,0.790714741,0,,,
5/21/2025 1:15,124611,780,0.840790033,0,,,
5/21/2025 1:15,123575,-240,0.879786253,0,,,
5/21/2025 1:15,123001,-763,0.920125723,0,,,
5/21/2025 1:15,122983,-732,0.960713387,0,,,
5/21/2025 1:15,123132,-547,1.00029254,0,,,
5/21/2025 1:15,123262,-391,1.123493433,0,,,
5/21/2025 1:15,123385,-251,1.123664379,0,,,
5/21/2025 1:15,123504,-124,1.123790979,0,,,
5/21/2025 1:15,123481,-137,1.150748253,0,,,
5/21/2025 1:15,123456,-152,1.190726042,0,,,
5/21/2025 1:15,123560,-45,1.240428686,0,,,
5/21/2025 1:15,123760,145,1.279787779,0,,,
5/21/2025 1:15,123972,335,1.320564985,0,,,
5/21/2025 1:15,124185,514,1.359861612,0,,,
5/21/2025 1:15,124451,731,1.400676012,0,,,
5/21/2025 1:15,124621,845,1.440116405,0,,,
5/21/2025 1:15,124768,930,1.480204344,0,,,
5/21/2025 1:15,124894,990,1.520004749,0,,,
5/21/2025 1:15,125066,1089,1.559779644,0,,,
5/21/2025 1:15,125144,1094,1.599957466,0,,,
5/21/2025 1:15,124268,205,1.640398502,0,,,
5/21/2025 1:15,123224,-787,1.679787636,0,,,
5/21/2025 1:15,123091,-862,1.720563173,0,,,
5/21/2025 1:15,123259,-651,1.760213375,0,,,
5/21/2025 1:15,123359,-516,1.800320625,0,,,
5/21/2025 1:15,123408,-438,1.84040308,0,,,
5/21/2025 1:15,123528,-298,1.880546093,0,,,
5/21/2025 1:15,123613,-200,1.920482397,0,,,
5/21/2025 1:15,123581,-217,1.960380793,0,,,
5/21/2025 1:15,123618,-169,2.000700951,0,,,
5/21/2025 1:15,123775,-11,2.039901733,0,,,
5/21/2025 1:15,123995,196,2.083543062,0,,,
5/21/2025 1:15,124223,397,2.120509863,0,,,
5/21/2025 1:15,124413,551,2.160535574,0,,,
5/21/2025 1:15,124564,658,2.199778557,0,,,
5/21/2025 1:15,124726,769,2.240751266,0,,,
5/21/2025 1:15,124906,889,2.27977705,0,,,
5/21/2025 1:16,125066,984,2.32017231,0,,,
5/21/2025 1:16,125234,1080,2.360798597,0,,,
5/21/2025 1:16,125387,1156,2.400651932,0,,,
5/21/2025 1:16,124490,243,2.439977646,0,,,
5/21/2025 1:16,123463,-735,2.479785919,0,,,
5/21/2025 1:16,123277,-864,2.520185471,0,,,
5/21/2025 1:16,123381,-712,2.559963942,0,,,
5/21/2025 1:16,123475,-580,2.600675106,0,,,
5/21/2025 1:16,123525,-496,2.640656948,0,,,
