Time (real),IR Value raw,IR Value filtered,Time (s),Label_Detail
5/16/2025 0:44,127219,1091,0.075252295,1
5/16/2025 0:44,127383,1176,0.075505972,1
5/16/2025 0:44,127492,1205,0.075661659,1
5/16/2025 0:44,127600,1231,0.083399057,1
5/16/2025 0:44,127672,1222,0.130620956,1
5/16/2025 0:44,127735,1204,0.17010498,1
5/16/2025 0:44,127791,1182,0.210283518,1
5/16/2025 0:44,127827,1142,0.250909328,1
5/16/2025 0:44,127863,1104,0.290578365,1
5/16/2025 0:44,127893,1063,0.330687523,1
5/16/2025 0:44,127950,1050,0.370791912,1
5/16/2025 0:44,127957,991,0.410054684,1
5/16/2025 0:44,127951,924,0.450960636,1
5/16/2025 0:44,127959,873,0.490153551,1
5/16/2025 0:44,127997,854,0.530023098,1
5/16/2025 0:44,128032,834,0.570924282,1
5/16/2025 0:44,128036,786,0.61001277,1
5/16/2025 0:44,128076,774,0.650963545,1
5/16/2025 0:44,128132,778,0.690295935,1
5/16/2025 0:44,128159,755,0.730837345,1
5/16/2025 0:44,128142,692,0.770144701,1
5/16/2025 0:44,128140,647,0.810014248,1
5/16/2025 0:44,128159,624,0.850798607,1
5/16/2025 0:44,128196,620,0.890105963,1
5/16/2025 0:44,127770,182,0.930026054,1
5/16/2025 0:44,125931,-1554,0.97094059,1
5/16/2025 0:44,125510,-1851,1.010624886,1
5/16/2025 0:44,125722,-1537,1.050355434,1
5/16/2025 0:44,126426,-781,1.090105057,1
5/16/2025 0:44,126975,-217,1.130950928,1
5/16/2025 0:44,127291,93,1.170089722,1
5/16/2025 0:44,127384,174,1.209998369,1
5/16/2025 0:44,127333,115,1.25090766,1
5/16/2025 0:44,127375,148,1.290068626,1
5/16/2025 0:44,127543,296,1.330829144,1
5/16/2025 0:44,127667,394,1.370093822,1
5/16/2025 0:44,127772,468,1.410020351,1
5/16/2025 0:44,127842,504,1.450674057,1
5/16/2025 0:44,127913,539,1.490822792,1
5/16/2025 0:44,127990,578,1.530952454,1
5/16/2025 0:44,128017,567,1.570173025,1
5/16/2025 0:44,127924,444,1.61011982,1
5/16/2025 0:44,126375,-1036,1.650994778,1
5/16/2025 0:44,125594,-1703,1.690986156,1
5/16/2025 0:44,125542,-1645,1.73004508,1
5/16/2025 0:44,125944,-1166,1.770704269,1
5/16/2025 0:44,126417,-649,1.810017109,1
5/16/2025 0:44,126844,-208,1.850822687,1
5/16/2025 0:44,127164,105,1.890895128,1
5/16/2025 0:44,127275,202,1.940428019,1
5/16/2025 0:44,127339,250,1.98012042,1
5/16/2025 0:44,127482,368,2.020062685,1
5/16/2025 0:44,127641,494,2.050997972,1
5/16/2025 0:44,127767,581,2.101015568,1
5/16/2025 0:44,127848,621,2.13086319,1
5/16/2025 0:44,127916,646,2.170695066,1
5/16/2025 0:44,127969,655,2.220696449,1
5/16/2025 0:44,127996,640,2.260001183,1
5/16/2025 0:44,127475,111,2.300148964,1
5/16/2025 0:44,125745,-1517,2.34009099,1
5/16/2025 0:44,125154,-1977,2.380296469,1
5/16/2025 0:44,125211,-1800,2.420649052,1
5/16/2025 0:44,125615,-1308,2.460777521,1
5/16/2025 0:44,126042,-826,2.500158548,1
5/16/2025 0:44,126581,-269,2.540043116,1
5/16/2025 0:44,126916,62,2.580967426,1
5/16/2025 0:44,127007,143,2.620832682,1
5/16/2025 0:44,127081,204,2.660028219,1
5/16/2025 0:44,127287,384,2.7839818,1
5/16/2025 0:44,127480,541,2.78414464,1
5/16/2025 0:44,127617,636,2.784264326,1
5/16/2025 0:44,127709,682,2.82058239,1
5/16/2025 0:44,127800,725,2.860519171,1
5/16/2025 0:44,127877,752,2.900690556,1
5/16/2025 0:44,127930,755,2.940336704,1
5/16/2025 0:44,127846,629,2.981027365,1
5/16/2025 0:44,126155,-996,3.014215946,1
5/16/2025 0:44,125239,-1792,3.06524229,1
5/16/2025 0:44,125022,-1884,3.100538731,1
5/16/2025 0:44,125364,-1445,3.140277386,1
5/16/2025 0:44,125713,-1028,3.180212736,1
5/16/2025 0:44,126164,-541,3.220187664,1
5/16/2025 0:44,126536,-158,3.260325909,1
5/16/2025 0:44,126579,-108,3.301064491,1
5/16/2025 0:44,126547,-131,3.342507124,1
5/16/2025 0:44,126771,87,3.384836674,1
5/16/2025 0:44,127129,417,3.420957565,1
5/16/2025 0:44,127350,598,3.460775852,1
5/16/2025 0:44,127493,695,3.500735283,1
5/16/2025 0:44,127625,775,3.540062904,1
5/16/2025 0:44,127733,828,3.580224514,1
5/16/2025 0:44,127803,842,3.620918751,1
5/16/2025 0:44,127216,239,3.660283804,1
5/16/2025 0:44,125456,-1426,3.700199604,1
5/16/2025 0:44,124568,-2169,3.740038872,1
5/16/2025 0:44,124583,-2019,3.780422688,1
5/16/2025 0:44,124861,-1633,3.820169449,1
5/16/2025 0:44,125077,-1328,3.860038757,1
5/16/2025 0:44,125486,-861,3.900254011,1
5/16/2025 0:44,125729,-580,3.940096378,1
5/16/2025 0:44,125758,-516,3.980088711,1
5/16/2025 0:44,125882,-368,4.020011663,1
5/16/2025 0:44,126251,1,4.060135841,1
5/16/2025 0:44,126678,401,4.100453138,1
5/16/2025 0:44,127004,682,4.140084743,1
5/16/2025 0:44,127222,844,4.180483818,1
5/16/2025 0:44,127364,924,4.220838785,1
5/16/2025 0:44,127486,981,4.260018587,1
5/16/2025 0:44,127591,1018,4.300787687,1
5/16/2025 0:44,127640,1000,4.340152025,1
5/16/2025 0:44,126478,-152,4.3801651,1
5/16/2025 0:44,124795,-1720,4.421770334,1
5/16/2025 0:44,124005,-2353,4.462355375,1
5/16/2025 0:44,124113,-2105,4.510963678,1
5/16/2025 0:44,124216,-1876,4.550236464,1
5/16/2025 0:44,124342,-1641,4.590121269,1
5/16/2025 0:44,124661,-1239,4.63055563,1
5/16/2025 0:44,124774,-1056,4.670258522,1
5/16/2025 0:44,124726,-1035,4.710221052,1
5/16/2025 0:44,124775,-924,4.741091967,1
5/16/2025 0:44,125065,-595,4.783260822,1
5/16/2025 0:44,125480,-168,4.830284595,1
5/16/2025 0:44,125949,282,4.870070934,1
5/16/2025 0:44,126380,668,4.910378218,1
5/16/2025 0:44,126728,953,4.951075554,1
5/16/2025 0:44,126926,1079,4.99009037,1
5/16/2025 0:44,127086,1162,5.030203819,1
5/16/2025 0:44,127272,1263,5.070091486,1
5/16/2025 0:44,126910,845,5.110401154,1
5/16/2025 0:44,124951,-1044,5.150472879,1
5/16/2025 0:44,123609,-2237,5.190057278,1
5/16/2025 0:44,123472,-2226,5.230226755,1
5/16/2025 0:44,123594,-1972,5.270323753,1
5/16/2025 0:44,123661,-1786,5.31020546,1
5/16/2025 0:44,123978,-1377,5.351045132,1
5/16/2025 0:44,124356,-937,5.390022278,1
5/16/2025 0:44,124484,-758,5.430599928,1
5/16/2025 0:44,124537,-661,5.470747471,1
5/16/2025 0:44,124786,-386,5.510852098,1
5/16/2025 0:44,125218,43,5.550536156,1
5/16/2025 0:44,125692,485,5.590005398,1
5/16/2025 0:44,126141,875,5.630233526,1
5/16/2025 0:44,126465,1124,5.670806885,1
5/16/2025 0:44,126700,1274,5.710018635,1
5/16/2025 0:44,126888,1371,5.750249386,1
5/16/2025 0:44,127052,1439,5.795319319,1
5/16/2025 0:44,127176,1466,5.83039856,1
5/16/2025 0:44,126305,557,5.870279551,1
5/16/2025 0:44,124493,-1176,5.910034657,1
5/16/2025 0:44,123538,-1998,5.951072216,1
5/16/2025 0:44,123594,-1821,5.99267602,1
5/16/2025 0:44,123637,-1666,6.030129433,1
5/16/2025 0:44,123755,-1452,6.070969343,1
5/16/2025 0:44,124148,-992,6.110029697,1
5/16/2025 0:44,124327,-763,6.150727749,1
5/16/2025 0:44,124292,-748,6.190026283,1
5/16/2025 0:44,124339,-657,6.230304956,1
5/16/2025 0:44,124609,-363,6.270884752,1
5/16/2025 0:44,124968,-3,6.310013056,1
5/16/2025 0:44,125373,377,6.350842714,1
5/16/2025 0:44,125766,721,6.390031338,1
5/16/2025 0:44,126110,999,6.430433035,1
5/16/2025 0:44,126382,1192,6.470923662,1
5/16/2025 0:44,126631,1351,6.51002264,1
5/16/2025 0:44,126687,1319,6.550115347,1
5/16/2025 0:44,125038,-310,6.590028524,1
5/16/2025 0:44,123440,-1788,6.630789757,1
5/16/2025 0:44,123107,-1989,6.670334101,1
5/16/2025 0:44,123276,-1706,6.710419893,1
5/16/2025 0:44,123373,-1508,6.751039743,1
5/16/2025 0:44,123691,-1116,6.790037394,1
5/16/2025 0:44,124014,-743,6.830153704,1
5/16/2025 0:44,124022,-689,6.870966911,1
5/16/2025 0:44,123984,-682,6.910876751,1
5/16/2025 0:44,124114,-517,6.960486412,1
5/16/2025 0:44,124418,-200,7.001017809,1
5/16/2025 0:44,124764,137,7.040026426,1
5/16/2025 0:44,125047,394,7.080272675,1
5/16/2025 0:44,125252,561,7.120913506,1
5/16/2025 0:44,125554,809,7.160014868,1
5/16/2025 0:44,125972,1151,7.200139046,1
5/16/2025 0:44,126294,1381,7.240014553,1
5/16/2025 0:44,126498,1486,7.280439377,1
5/16/2025 0:44,126687,1570,7.320112228,1
5/16/2025 0:44,126305,1114,7.360014439,1
5/16/2025 0:44,124297,-838,7.400449038,1
5/16/2025 0:44,122793,-2196,7.440063715,1
5/16/2025 0:44,122661,-2182,7.480296373,1
5/16/2025 0:44,122714,-1996,7.520855427,1
5/16/2025 0:44,122699,-1885,7.560059547,1
5/16/2025 0:44,122966,-1517,7.600255728,1
5/16/2025 0:44,123370,-1044,7.640042782,1
5/16/2025 0:44,123501,-856,7.680298328,1
5/16/2025 0:44,123516,-788,7.720932245,1
5/16/2025 0:44,123646,-617,7.760920048,1
5/16/2025 0:44,123906,-335,7.800041437,1
5/16/2025 0:44,124195,-43,7.840089321,1
5/16/2025 0:44,124462,210,7.880887508,1
5/16/2025 0:44,124774,490,7.920942307,1
5/16/2025 0:44,125101,766,7.960981369,1
5/16/2025 0:44,125427,1024,8.000333309,1
5/16/2025 0:44,125774,1285,8.040593147,1
5/16/2025 0:44,126163,1569,8.08053565,1
5/16/2025 0:44,126490,1778,8.120471716,1
5/16/2025 0:44,125704,930,8.160889387,1
5/16/2025 0:44,123581,-1119,8.200163841,1
5/16/2025 0:44,122443,-2115,8.240097761,1
5/16/2025 0:44,122534,-1898,8.280551672,1
5/16/2025 0:44,122582,-1734,8.320856333,1
5/16/2025 0:44,122603,-1606,8.361038685,1
5/16/2025 0:44,122988,-1145,8.400140524,1
5/16/2025 0:44,123330,-753,8.440309763,1
5/16/2025 0:44,123390,-649,8.480390072,1
5/16/2025 0:44,123443,-559,8.520904303,1
5/16/2025 0:44,123726,-259,8.560916185,1
5/16/2025 0:44,124120,127,8.600841761,1
5/16/2025 0:44,124549,521,8.640111923,1
5/16/2025 0:44,124993,905,8.680793524,1
5/16/2025 0:44,125428,1256,8.720097065,1
5/16/2025 0:44,125798,1525,8.760122299,1
5/16/2025 0:44,126038,1654,8.800821066,1
5/16/2025 0:44,126258,1757,8.84037137,1
5/16/2025 0:44,126266,1655,8.880753994,1
5/16/2025 0:44,124619,7,8.92084527,1
5/16/2025 0:44,122761,-1735,8.960269213,1
5/16/2025 0:44,122426,-1940,9.000351191,1
5/16/2025 0:44,122699,-1563,9.040861368,1
5/16/2025 0:44,122783,-1387,9.080966949,1
5/16/2025 0:44,122807,-1278,9.120391846,1
5/16/2025 0:44,122996,-1020,9.160109997,1
5/16/2025 0:44,123048,-908,9.200346708,1
5/16/2025 0:44,123139,-766,9.240510941,1
5/16/2025 0:44,123380,-492,9.280360937,1
5/16/2025 0:44,123782,-84,9.320837259,1
5/16/2025 0:44,124204,317,9.360021353,1
5/16/2025 0:44,124576,646,9.400830507,1
5/16/2025 0:44,124858,870,9.440933228,1
5/16/2025 0:44,125064,1008,9.490022182,1
5/16/2025 0:44,125294,1161,9.530046463,1
5/16/2025 0:44,125719,1487,9.570094109,1
5/16/2025 0:44,126074,1727,9.610938072,1
5/16/2025 0:44,125014,625,9.650274992,1
5/16/2025 0:44,122921,-1376,9.690333843,1
5/16/2025 0:44,122233,-1935,9.73042798,1
5/16/2025 0:44,122409,-1649,9.770406723,1
5/16/2025 0:44,122505,-1456,9.811080694,1
5/16/2025 0:44,122583,-1292,9.85009551,1
5/16/2025 0:44,123057,-767,9.890990973,1
5/16/2025 0:44,123458,-343,9.930205345,1
5/16/2025 0:44,123524,-259,9.970938921,1
5/16/2025 0:44,123617,-156,10.01004314,1
5/16/2025 0:44,123901,120,10.05083466,1
5/16/2025 0:44,124325,510,10.09014916,1
5/16/2025 0:44,124808,931,10.13038325,1
5/16/2025 0:44,125249,1286,10.17103338,1
5/16/2025 0:44,125644,1576,10.21013689,1
5/16/2025 0:44,126001,1812,10.25049949,1
5/16/2025 0:44,126271,1952,10.29037285,1
5/16/2025 0:44,126496,2041,10.33035779,1
5/16/2025 0:44,126673,2080,10.37009764,1
5/16/2025 0:44,126855,2120,10.41090441,1
5/16/2025 0:44,127011,2134,10.45009518,1
5/16/2025 0:44,125893,953,10.49049854,1
5/16/2025 0:44,123676,-1185,10.53086424,1
5/16/2025 0:44,122438,-2272,10.57094383,1
5/16/2025 0:44,122541,-2033,10.61014485,1
5/16/2025 0:44,122695,-1762,10.65074396,1
5/16/2025 0:44,122790,-1563,10.69112945,1
5/16/2025 0:44,123140,-1137,10.73083186,1
5/16/2025 0:44,123467,-759,10.77011728,1
5/16/2025 0:44,123536,-647,10.81001472,1
5/16/2025 0:44,123659,-491,10.850842,1
5/16/2025 0:44,123975,-164,10.89059162,1
5/16/2025 0:44,124402,246,10.93049717,1
5/16/2025 0:44,124814,617,10.97009969,1
5/16/2025 0:44,125124,869,11.01001716,1
5/16/2025 0:44,125415,1088,11.05022073,1
5/16/2025 0:44,125703,1290,11.09058905,1
5/16/2025 0:44,125945,1436,11.13092113,1
5/16/2025 0:44,126135,1525,11.17010903,1
5/16/2025 0:44,126408,1685,11.21091104,1
5/16/2025 0:44,126643,1800,11.25012159,1
5/16/2025 0:44,126819,1853,11.29067302,1
5/16/2025 0:44,126910,1822,11.33034873,1
5/16/2025 0:44,125364,259,11.37090707,1
5/16/2025 0:44,123323,-1670,11.4100461,1
5/16/2025 0:44,122479,-2357,11.45085335,1
5/16/2025 0:44,122718,-1986,11.49108052,1
5/16/2025 0:44,122886,-1704,11.53108931,1
5/16/2025 0:44,123022,-1470,11.57039309,1
5/16/2025 0:44,123410,-1015,11.61033392,1
5/16/2025 0:44,123750,-632,11.65084863,1
5/16/2025 0:44,123907,-446,11.6900475,1
5/16/2025 0:44,124161,-180,11.73032975,1
5/16/2025 0:44,124625,267,11.7701118,1
5/16/2025 0:44,125214,802,11.8101759,1
5/16/2025 0:44,125692,1200,11.85040569,1
5/16/2025 0:44,126041,1452,11.89038801,1
5/16/2025 0:44,126321,1624,11.93020415,1
5/16/2025 0:44,126555,1742,11.9803071,1
5/16/2025 0:44,126677,1748,12.02090263,1
5/16/2025 0:44,126816,1769,12.06002474,1
5/16/2025 0:44,126953,1787,12.10083938,1
5/16/2025 0:44,127074,1788,12.14101744,1
5/16/2025 0:44,127158,1755,12.18090653,1
5/16/2025 0:44,127226,1710,12.22089577,1
5/16/2025 0:44,126203,644,12.26098847,1
5/16/2025 0:44,124358,-1126,12.300915,1
5/16/2025 0:44,123383,-1970,12.34014201,1
5/16/2025 0:44,123447,-1787,12.38039398,1
5/16/2025 0:44,123676,-1460,12.42046642,1
5/16/2025 0:44,123830,-1225,12.46086955,1
5/16/2025 0:44,124115,-881,12.5002768,1
5/16/2025 0:44,124259,-691,12.54031897,1
5/16/2025 0:44,124162,-739,12.58034492,1
5/16/2025 0:44,124103,-748,12.62094235,1
5/16/2025 0:44,124342,-477,12.66003013,1
5/16/2025 0:44,124795,-22,12.70082164,1
5/16/2025 0:44,125313,465,12.74006581,1
5/16/2025 0:44,125781,874,12.78008747,1
5/16/2025 0:44,126144,1160,12.82019901,1
5/16/2025 0:44,126399,1327,12.86004734,1
5/16/2025 0:44,126589,1422,12.90032315,1
5/16/2025 0:44,126803,1534,12.94007063,1
5/16/2025 0:44,126936,1563,12.98035693,1
5/16/2025 0:44,125734,338,13.02007985,1
5/16/2025 0:44,123903,-1400,13.06003976,1
5/16/2025 0:44,123057,-2105,13.10048509,1
5/16/2025 0:44,123315,-1732,13.1409955,1
5/16/2025 0:44,123569,-1385,13.18040085,1
5/16/2025 0:44,123775,-1106,13.22045183,1
5/16/2025 0:44,124172,-664,13.26002026,1
5/16/2025 0:44,124314,-490,13.30010128,1
5/16/2025 0:44,124247,-522,13.34049392,1
5/16/2025 0:44,124373,-371,13.38013053,1
5/16/2025 0:44,124865,113,13.42006731,1
5/16/2025 0:44,125610,805,13.46023488,1
5/16/2025 0:44,126152,1263,13.50010562,1
5/16/2025 0:44,126470,1482,13.54007483,1
5/16/2025 0:44,126707,1612,13.58093023,1
5/16/2025 0:44,126853,1648,13.62009192,1
5/16/2025 0:44,126976,1660,13.66001749,1
5/16/2025 0:44,127088,1661,13.70084095,1
5/16/2025 0:44,127177,1641,13.74008441,1
5/16/2025 0:44,126267,685,13.78090358,1
5/16/2025 0:44,124480,-1033,13.82086492,1
5/16/2025 0:44,123586,-1806,13.86004567,1
5/16/2025 0:44,123687,-1599,13.90009475,1
5/16/2025 0:44,123943,-1259,13.94052386,1
5/16/2025 0:44,124079,-1053,13.98065257,1
