Time (real),IR Value raw,IR Value filtered,Time (s),Label_Detail
4/18/2025 13:44,126119,330,0.078132391,1
4/18/2025 13:44,126127,317,0.078383923,1
4/18/2025 13:44,126141,310,0.078563452,1
4/18/2025 13:44,126230,375,0.099829197,1
4/18/2025 13:44,126319,435,0.139881134,1
4/18/2025 13:44,126447,527,0.180293798,1
4/18/2025 13:44,126585,624,0.219727516,1
4/18/2025 13:44,126656,652,0.260182619,1
4/18/2025 13:44,126701,653,0.300002098,1
4/18/2025 13:44,126743,652,0.339518785,1
4/18/2025 13:44,126337,230,0.380074501,1
4/18/2025 13:44,125401,-662,0.420454264,1
4/18/2025 13:44,125318,-698,0.45975256,1
4/18/2025 13:44,125848,-157,0.499969721,1
4/18/2025 13:44,126218,199,0.540153027,1
4/18/2025 13:44,126459,413,0.579875469,1
4/18/2025 13:44,126576,497,0.6203022,1
4/18/2025 13:44,126592,481,0.670141697,1
4/18/2025 13:44,126637,493,0.700182915,1
4/18/2025 13:44,126701,522,0.739893436,1
4/18/2025 13:44,126738,524,0.780017138,1
4/18/2025 13:44,126804,553,0.819887161,1
4/18/2025 13:44,126850,562,0.87030673,1
4/18/2025 13:44,126903,576,0.909695625,1
4/18/2025 13:44,126945,580,0.94963026,1
4/18/2025 13:44,126961,559,0.980131149,1
4/18/2025 13:44,126799,372,1.020146847,1
4/18/2025 13:44,126122,-286,1.070609093,1
4/18/2025 13:44,125904,-472,1.110291719,1
4/18/2025 13:44,126262,-107,1.149593115,1
4/18/2025 13:44,126610,226,1.190012932,1
4/18/2025 13:44,126747,340,1.229660988,1
4/18/2025 13:44,126820,387,1.270835876,1
4/18/2025 13:44,126808,352,1.30989337,1
4/18/2025 13:45,126764,289,1.350067377,1
4/18/2025 13:45,126798,303,1.390135288,1
4/18/2025 13:45,126860,342,1.429462194,1
4/18/2025 13:45,126883,342,1.469986677,1
4/18/2025 13:45,126922,357,1.509679317,1
4/18/2025 13:45,127000,408,1.549376488,1
4/18/2025 13:45,126999,382,1.590322018,1
4/18/2025 13:45,126971,332,1.629379988,1
4/18/2025 13:45,126471,-158,1.670233488,1
4/18/2025 13:45,125541,-1020,1.709450483,1
4/18/2025 13:45,125553,-945,1.749816656,1
4/18/2025 13:45,126052,-418,1.790117264,1
4/18/2025 13:45,126406,-60,1.83035183,1
4/18/2025 13:45,126614,139,1.870158911,1
4/18/2025 13:45,126726,235,1.909578323,1
4/18/2025 13:45,126758,251,1.949754715,1
4/18/2025 13:45,126823,296,1.990209341,1
4/18/2025 13:45,126964,410,2.029978275,1
